"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 22 01:06:38 GMT 2025","Sat Mar 22 01:06:38 GMT 2025","307","tests_api","Test Backup","TestBackup","","","test order db create backup with wrong uuid",""
"passed","Sat Mar 22 01:04:29 GMT 2025","Sat Mar 22 01:04:29 GMT 2025","0","tests_api","GET","TestGET","","","Get token.",""
"broken","Sat Mar 22 01:07:27 GMT 2025","Sat Mar 22 01:07:33 GMT 2025","5919","tests_ui","Test Profile Page.","TestProfilePage","","","test_clipboard",""
"passed","Sat Mar 22 01:06:55 GMT 2025","Sat Mar 22 01:06:56 GMT 2025","713","tests_ui","Test Main Page.","TestMainPage","","","test_main_button",""
"failed","Sat Mar 22 01:04:39 GMT 2025","Sat Mar 22 01:04:40 GMT 2025","312","tests_api","POST","TestPOST","","","POST db_create_with_wrong_db_type.",""
"skipped","Sat Mar 22 01:05:09 GMT 2025","Sat Mar 22 01:06:06 GMT 2025","56661","tests_api","POST","TestPOST","","","POST delete_all_created_db",""
"failed","Sat Mar 22 01:04:40 GMT 2025","Sat Mar 22 01:04:40 GMT 2025","306","tests_api","POST","TestPOST","","","POST db_create_with_wrong_env.",""
"passed","Sat Mar 22 01:06:52 GMT 2025","Sat Mar 22 01:06:55 GMT 2025","2181","tests_ui","Test Main Page.","TestMainPage","","","test_links",""
"failed","Sat Mar 22 01:04:45 GMT 2025","Sat Mar 22 01:04:45 GMT 2025","311","tests_api","POST","TestPOST","","","POST checking ports_len positive",""
"failed","Sat Mar 22 01:04:46 GMT 2025","Sat Mar 22 01:04:47 GMT 2025","321","tests_api","POST","TestPOST","","","POST create_docker_container_without_token",""
"passed","Sat Mar 22 01:06:51 GMT 2025","Sat Mar 22 01:06:52 GMT 2025","945","tests_ui","Test Main Page.","TestMainPage","","","test_ids_is_not_repeated_on_main_page",""
"skipped","Sat Mar 22 01:04:42 GMT 2025","Sat Mar 22 01:04:42 GMT 2025","601","tests_api","POST","TestPOST","","","POST db_list_with_filter",""
"passed","Sat Mar 22 01:04:36 GMT 2025","Sat Mar 22 01:04:37 GMT 2025","947","tests_api","POST","TestPOST","","","POST login/is_logged/logout",""
"passed","Sat Mar 22 01:04:41 GMT 2025","Sat Mar 22 01:04:41 GMT 2025","311","tests_api","POST","TestPOST","","","POST db_list",""
"passed","Sat Mar 22 01:04:33 GMT 2025","Sat Mar 22 01:04:33 GMT 2025","313","tests_api","POST","TestPOST","","","POST registration email is taken for en-us",""
"passed","Sat Mar 22 01:06:38 GMT 2025","Sat Mar 22 01:06:39 GMT 2025","311","tests_api","Test Backup","TestBackup","","","test order db create backup without uuid",""
"failed","Sat Mar 22 01:04:46 GMT 2025","Sat Mar 22 01:04:46 GMT 2025","312","tests_api","POST","TestPOST","","","POST checking ports_len negative len",""
"passed","Sat Mar 22 01:06:59 GMT 2025","Sat Mar 22 01:06:59 GMT 2025","0","tests_ui","Test Profile Page.","TestProfilePage","","","Get token.",""
"skipped","Sat Mar 22 01:05:08 GMT 2025","Sat Mar 22 01:05:09 GMT 2025","634","tests_api","POST","TestPOST","","","POST delete_db",""
"passed","Sat Mar 22 01:04:35 GMT 2025","Sat Mar 22 01:04:36 GMT 2025","633","tests_api","POST","TestPOST","","","POST is logout",""
"passed","Sat Mar 22 01:04:32 GMT 2025","Sat Mar 22 01:04:32 GMT 2025","0","tests_api","POST","TestPOST","","","POST get token and other params.",""
"passed","Sat Mar 22 01:04:29 GMT 2025","Sat Mar 22 01:04:30 GMT 2025","374","tests_api","GET","TestGET","","","GET list list_dbtypes.",""
"passed","Sat Mar 22 01:06:57 GMT 2025","Sat Mar 22 01:06:57 GMT 2025","519","tests_ui","Test Login Page.","TestLoginPage","","","test_buttons_are_clickable",""
"failed","Sat Mar 22 01:04:47 GMT 2025","Sat Mar 22 01:04:47 GMT 2025","312","tests_api","POST","TestPOST","","","POST create_docker_container_without_token",""
"passed","Sat Mar 22 01:04:41 GMT 2025","Sat Mar 22 01:04:42 GMT 2025","608","tests_api","POST","TestPOST","","","POST create_docker_container",""
"passed","Sat Mar 22 01:04:32 GMT 2025","Sat Mar 22 01:04:32 GMT 2025","391","tests_api","POST","TestPOST","","","POST registration for English language.",""
"failed","Sat Mar 22 01:04:27 GMT 2025","Sat Mar 22 01:04:28 GMT 2025","723","tests_api","Test Connection DB","TestFull","","","Complex",""
"passed","Sat Mar 22 01:04:38 GMT 2025","Sat Mar 22 01:04:38 GMT 2025","927","tests_api","POST","TestPOST","","","POST logout with wrong logout token",""
"passed","Sat Mar 22 01:04:32 GMT 2025","Sat Mar 22 01:04:33 GMT 2025","391","tests_api","POST","TestPOST","","","POST registration Bulgaria language.",""
