"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","315","GET list list_regions.","tests_api","Thu Jan 15 02:03:39 UTC 2026","passed","Thu Jan 15 02:03:39 UTC 2026","TestGET","GET","",""
"","532","test_buttons_are_clickable","tests_ui","Thu Jan 15 02:05:40 UTC 2026","passed","Thu Jan 15 02:05:41 UTC 2026","TestLoginPage","Test Login Page.","",""
"","305","GET bad_request.","tests_api","Thu Jan 15 02:05:23 UTC 2026","passed","Thu Jan 15 02:05:23 UTC 2026","TestGET","GET","",""
"","310","GET probe.","tests_api","Thu Jan 15 02:05:23 UTC 2026","passed","Thu Jan 15 02:05:24 UTC 2026","TestGET","GET","",""
"","434","GET list db_versions.","tests_api","Thu Jan 15 02:03:38 UTC 2026","passed","Thu Jan 15 02:03:39 UTC 2026","TestGET","GET","",""
"","430","GET qstatus.","tests_api","Thu Jan 15 02:05:24 UTC 2026","passed","Thu Jan 15 02:05:24 UTC 2026","TestGET","GET","",""
"","1006","POST login/is_logged/logout","tests_api","Thu Jan 15 02:03:44 UTC 2026","passed","Thu Jan 15 02:03:45 UTC 2026","TestPOST","POST","",""
"","317","POST registration email is taken for en-us","tests_api","Thu Jan 15 02:03:41 UTC 2026","passed","Thu Jan 15 02:03:42 UTC 2026","TestPOST","POST","",""
"","313","GET list list_regions.","tests_api","Thu Jan 15 02:05:23 UTC 2026","passed","Thu Jan 15 02:05:23 UTC 2026","TestGET","GET","",""
"","526","GET tos.","tests_api","Thu Jan 15 02:03:37 UTC 2026","passed","Thu Jan 15 02:03:38 UTC 2026","TestGET","GET","",""
"","570","POST checking ports_len positive","tests_api","Thu Jan 15 02:03:53 UTC 2026","failed","Thu Jan 15 02:03:53 UTC 2026","TestPOST","POST","",""
"","312","GET list list_dbenvs.","tests_api","Thu Jan 15 02:05:22 UTC 2026","passed","Thu Jan 15 02:05:23 UTC 2026","TestGET","GET","",""
"","0","Getting an authorization token","tests_ui","Thu Jan 15 02:05:42 UTC 2026","passed","Thu Jan 15 02:05:42 UTC 2026","TestProfilePage","Test Profile Page.","",""
"","289","GET bad_request.","tests_api","Thu Jan 15 02:03:39 UTC 2026","passed","Thu Jan 15 02:03:39 UTC 2026","TestGET","GET","",""
"","448","POST db_create_with_wrong_region.","tests_api","Thu Jan 15 02:03:49 UTC 2026","failed","Thu Jan 15 02:03:49 UTC 2026","TestPOST","POST","",""
"","4045","Deleting a DB with results check in the Account Dashboard table","tests_ui","Thu Jan 15 02:05:57 UTC 2026","failed","Thu Jan 15 02:06:01 UTC 2026","TestProfilePage","Test Profile Page.","",""
"","312","POST checking ports_len negative len","tests_api","Thu Jan 15 02:03:54 UTC 2026","passed","Thu Jan 15 02:03:54 UTC 2026","TestPOST","POST","",""
"","661","POST change_password","tests_api","Thu Jan 15 02:03:50 UTC 2026","passed","Thu Jan 15 02:03:51 UTC 2026","TestPOST","POST","",""
"","765","test_main_button","tests_ui","Thu Jan 15 02:05:38 UTC 2026","passed","Thu Jan 15 02:05:39 UTC 2026","TestMainPage","Test Main Page.","",""
"","410","POST delete_db","tests_api","Thu Jan 15 02:03:56 UTC 2026","skipped","Thu Jan 15 02:03:56 UTC 2026","TestPOST","POST","",""
"","1070","Capacity_db","tests_api","Thu Jan 15 02:03:36 UTC 2026","broken","Thu Jan 15 02:03:37 UTC 2026","TestFull","Test Connection DB","",""
"","318","POST login","tests_api","Thu Jan 15 02:03:42 UTC 2026","passed","Thu Jan 15 02:03:43 UTC 2026","TestPOST","POST","",""
"","880","Complex","tests_api","Thu Jan 15 02:03:35 UTC 2026","failed","Thu Jan 15 02:03:36 UTC 2026","TestFull","Test Connection DB","",""
"","2702","Checking the JDBC connection string signature","tests_ui","Thu Jan 15 02:06:06 UTC 2026","passed","Thu Jan 15 02:06:09 UTC 2026","TestProfilePage","Test Profile Page.","",""
"","326","POST db_create_with_wrong_env.","tests_api","Thu Jan 15 02:04:03 UTC 2026","failed","Thu Jan 15 02:04:04 UTC 2026","TestPOST","smoke_databases","",""
"","937","Checking the opening of the statistics page","tests_ui","Thu Jan 15 02:05:44 UTC 2026","passed","Thu Jan 15 02:05:45 UTC 2026","TestProfilePage","Test Profile Page.","",""
"","310","POST db_create_with_wrong_db_type.","tests_api","Thu Jan 15 02:04:03 UTC 2026","failed","Thu Jan 15 02:04:03 UTC 2026","TestPOST","smoke_databases","",""
"","406","POST delete_all_created_db","tests_api","Thu Jan 15 02:03:57 UTC 2026","skipped","Thu Jan 15 02:03:57 UTC 2026","TestPOST","POST","",""
"","0","POST get token and other params.","tests_api","Thu Jan 15 02:03:40 UTC 2026","passed","Thu Jan 15 02:03:40 UTC 2026","TestPOST","POST","",""
"","898","Checking the uniqueness of ID elements on the profile page","tests_ui","Thu Jan 15 02:05:43 UTC 2026","passed","Thu Jan 15 02:05:44 UTC 2026","TestProfilePage","Test Profile Page.","",""
"","338","POST check profile","tests_api","Thu Jan 15 02:03:40 UTC 2026","passed","Thu Jan 15 02:03:40 UTC 2026","TestPOST","POST","",""
"","324","POST registration Bulgaria language not agree.","tests_api","Thu Jan 15 02:03:41 UTC 2026","passed","Thu Jan 15 02:03:41 UTC 2026","TestPOST","POST","",""
"","313","POST db_create_with_wrong_region.","tests_api","Thu Jan 15 02:04:04 UTC 2026","failed","Thu Jan 15 02:04:04 UTC 2026","TestPOST","smoke_databases","",""
"","315","POST db_create_with_wrong_db_type.","tests_api","Thu Jan 15 02:03:48 UTC 2026","failed","Thu Jan 15 02:03:48 UTC 2026","TestPOST","POST","",""
"","330","POST delete_container","tests_api","Thu Jan 15 02:03:55 UTC 2026","broken","Thu Jan 15 02:03:55 UTC 2026","TestPOST","POST","",""
"","1087","POST logout with wrong logout token","tests_api","Thu Jan 15 02:03:46 UTC 2026","passed","Thu Jan 15 02:03:47 UTC 2026","TestPOST","POST","",""
"","322","GET list db_versions.","tests_api","Thu Jan 15 02:05:22 UTC 2026","passed","Thu Jan 15 02:05:22 UTC 2026","TestGET","GET","",""
"","406","POST db_list","tests_api","Thu Jan 15 02:04:04 UTC 2026","passed","Thu Jan 15 02:04:04 UTC 2026","TestPOST","smoke_databases","",""
"","312","GET list list_dbtypes.","tests_api","Thu Jan 15 02:05:22 UTC 2026","passed","Thu Jan 15 02:05:22 UTC 2026","TestGET","GET","",""
"","311","POST db_create_with_wrong_env.","tests_api","Thu Jan 15 02:03:48 UTC 2026","failed","Thu Jan 15 02:03:49 UTC 2026","TestPOST","POST","",""
"","314","test order db create backup non-belonging db","tests_api","Thu Jan 15 02:04:01 UTC 2026","failed","Thu Jan 15 02:04:01 UTC 2026","TestBackup","Test Backup","",""
"","0","POST get token and other params.","tests_api","Thu Jan 15 02:04:02 UTC 2026","passed","Thu Jan 15 02:04:02 UTC 2026","TestPOST","smoke_databases","",""
"","333","POST registration Bulgaria language.","tests_api","Thu Jan 15 02:03:41 UTC 2026","passed","Thu Jan 15 02:03:41 UTC 2026","TestPOST","POST","",""
"","639","POST db_create","tests_api","Thu Jan 15 02:03:47 UTC 2026","failed","Thu Jan 15 02:03:48 UTC 2026","TestPOST","POST","",""
"","328","GET list list_dbtypes.","tests_api","Thu Jan 15 02:03:38 UTC 2026","passed","Thu Jan 15 02:03:38 UTC 2026","TestGET","GET","",""
"","0","Get token.","tests_api","Thu Jan 15 02:03:37 UTC 2026","passed","Thu Jan 15 02:03:37 UTC 2026","TestGET","GET","",""
"","321","test order db create backup without uuid","tests_api","Thu Jan 15 02:04:00 UTC 2026","passed","Thu Jan 15 02:04:00 UTC 2026","TestBackup","Test Backup","",""
"","6005","test_clipboard_uuid_docker","tests_ui","Thu Jan 15 02:06:09 UTC 2026","broken","Thu Jan 15 02:06:15 UTC 2026","TestProfilePage","Test Profile Page.","",""
"","986","Checking the ""Static Sites"" table header","tests_ui","Thu Jan 15 02:05:46 UTC 2026","passed","Thu Jan 15 02:05:47 UTC 2026","TestProfilePage","Test Profile Page.","",""
"","1002","test_ids_is_not_repeated_on_main_page","tests_ui","Thu Jan 15 02:05:34 UTC 2026","passed","Thu Jan 15 02:05:35 UTC 2026","TestMainPage","Test Main Page.","",""
"","312","POST is logged","tests_api","Thu Jan 15 02:03:43 UTC 2026","passed","Thu Jan 15 02:03:43 UTC 2026","TestPOST","POST","",""
"","322","POST create_docker_container_without_token","tests_api","Thu Jan 15 02:03:54 UTC 2026","passed","Thu Jan 15 02:03:55 UTC 2026","TestPOST","POST","",""
"","313","POST is_logged_with_wrong_token","tests_api","Thu Jan 15 02:03:43 UTC 2026","passed","Thu Jan 15 02:03:43 UTC 2026","TestPOST","POST","",""
"","410","POST db_list_with_filter","tests_api","Thu Jan 15 02:03:50 UTC 2026","skipped","Thu Jan 15 02:03:50 UTC 2026","TestPOST","POST","",""
"","0","Get token.","tests_api","Thu Jan 15 02:03:35 UTC 2026","passed","Thu Jan 15 02:03:35 UTC 2026","TestFull","Test Connection DB","",""
"","315","POST db_create_with_wrong_db_version.","tests_api","Thu Jan 15 02:04:03 UTC 2026","failed","Thu Jan 15 02:04:03 UTC 2026","TestPOST","smoke_databases","",""
"","672","test_ids_is_not_repeated_on_login_page","tests_ui","Thu Jan 15 02:05:39 UTC 2026","passed","Thu Jan 15 02:05:40 UTC 2026","TestLoginPage","Test Login Page.","",""
