"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 25 17:16:42 GMT 2024","Sun Feb 25 17:16:42 GMT 2024","345","tests_api","POST","TestPOST","","","Post db_create",""
"failed","Sun Feb 25 17:15:03 GMT 2024","Sun Feb 25 17:16:37 GMT 2024","93917","tests_api","Test Performance DB","TestCapacity","","","test_capacity_db",""
"passed","Sun Feb 25 17:16:39 GMT 2024","Sun Feb 25 17:16:39 GMT 2024","439","tests_api","GET","TestGET","","","List regions.",""
"passed","Sun Feb 25 17:16:55 GMT 2024","Sun Feb 25 17:16:55 GMT 2024","386","tests_ui","test_login_form","TestLoginPage","","","test_ids_is_not_repeated_on_login_page",""
"passed","Sun Feb 25 17:16:42 GMT 2024","Sun Feb 25 17:16:42 GMT 2024","315","tests_api","POST","TestPOST","","","Post db_create with wrong db_type.",""
"failed","Sun Feb 25 17:16:44 GMT 2024","Sun Feb 25 17:16:44 GMT 2024","608","tests_api","POST","TestPOST","","","Post db list with filter",""
"passed","Sun Feb 25 17:16:41 GMT 2024","Sun Feb 25 17:16:41 GMT 2024","308","tests_api","POST","TestPOST","","","Post registration email is taken",""
"passed","Sun Feb 25 17:16:37 GMT 2024","Sun Feb 25 17:16:38 GMT 2024","313","tests_api","GET","TestGET","","","Test tos.",""
"passed","Sun Feb 25 17:16:38 GMT 2024","Sun Feb 25 17:16:38 GMT 2024","302","tests_api","GET","TestGET","","","Get profile information.",""
"passed","Sun Feb 25 17:16:41 GMT 2024","Sun Feb 25 17:16:41 GMT 2024","308","tests_api","POST","TestPOST","","","Post login",""
"passed","Sun Feb 25 17:16:38 GMT 2024","Sun Feb 25 17:16:39 GMT 2024","307","tests_api","GET","TestGET","","","List envs.",""
"passed","Sun Feb 25 17:16:40 GMT 2024","Sun Feb 25 17:16:40 GMT 2024","307","tests_api","GET","TestGET","","","Get profile status.",""
"passed","Sun Feb 25 17:16:41 GMT 2024","Sun Feb 25 17:16:42 GMT 2024","313","tests_api","POST","TestPOST","","","test_post_is_logged",""
"passed","Sun Feb 25 17:16:39 GMT 2024","Sun Feb 25 17:16:40 GMT 2024","303","tests_api","GET","TestGET","","","Bad request.",""
"passed","Sun Feb 25 17:16:55 GMT 2024","Sun Feb 25 17:16:56 GMT 2024","545","tests_ui","test_login_form","TestLoginPage","","","test_ids_is_not_repeated_on_login_page",""
"passed","Sun Feb 25 17:16:43 GMT 2024","Sun Feb 25 17:16:43 GMT 2024","312","tests_api","POST","TestPOST","","","Post db_create with wrong region.",""
"passed","Sun Feb 25 17:16:42 GMT 2024","Sun Feb 25 17:16:43 GMT 2024","326","tests_api","POST","TestPOST","","","Post db_create with wrong db_version.",""
"passed","Sun Feb 25 17:16:43 GMT 2024","Sun Feb 25 17:16:43 GMT 2024","307","tests_api","POST","TestPOST","","","Post db_create with wrong env.",""
"skipped","Sun Feb 25 17:16:40 GMT 2024","Sun Feb 25 17:16:40 GMT 2024","311","tests_api","POST","TestPOST","","","Post registration",""
"passed","Sun Feb 25 17:16:38 GMT 2024","Sun Feb 25 17:16:38 GMT 2024","303","tests_api","GET","TestGET","","","List db_types.",""
"passed","Sun Feb 25 17:16:43 GMT 2024","Sun Feb 25 17:16:44 GMT 2024","316","tests_api","POST","TestPOST","","","Post db_list",""
"passed","Sun Feb 25 17:16:38 GMT 2024","Sun Feb 25 17:16:38 GMT 2024","322","tests_api","GET","TestGET","","","List db_versions.",""
"passed","Sun Feb 25 17:16:41 GMT 2024","Sun Feb 25 17:16:41 GMT 2024","351","tests_api","POST","TestPOST","","","Post registration mail bg",""
"skipped","Sun Feb 25 17:16:45 GMT 2024","Sun Feb 25 17:16:46 GMT 2024","620","tests_api","POST","TestPOST","","","delete_db",""
"passed","Sun Feb 25 17:16:40 GMT 2024","Sun Feb 25 17:16:41 GMT 2024","317","tests_api","POST","TestPOST","","","Post registration mail any countries",""
"passed","Sun Feb 25 17:16:44 GMT 2024","Sun Feb 25 17:16:45 GMT 2024","620","tests_api","POST","TestPOST","","","Post change password",""
"passed","Sun Feb 25 17:16:46 GMT 2024","Sun Feb 25 17:16:46 GMT 2024","1","tests_ui","test_login_form","TestLoginPage","","","test_fo",""
"passed","Sun Feb 25 17:14:29 GMT 2024","Sun Feb 25 17:15:03 GMT 2024","34666","tests_api","Test Connection DB","TestConnectionDB","","","Complex",""
"passed","Sun Feb 25 17:16:53 GMT 2024","Sun Feb 25 17:16:54 GMT 2024","1200","tests_ui","test_login_form","TestLoginPage","","","test_ids_is_not_repeated_on_main_page",""
